model	sample_id	img	src_turn	dst_turn	length	recovered
blip2	0	1	1	2	1	0
blip2	0	2	5	10	5	0
blip2	0	3	1	12	11	1
blip2	0	4	1	3	2	1
blip2	0	4	4	9	5	0
blip2	0	5	5	10	5	0
blip2	1	1	6	7	1	0
blip2	1	2	1	5	4	1
blip2	1	2	6	11	5	0
blip2	1	3	1	2	1	1
blip2	1	3	6	10	4	0
blip2	1	4	1	4	3	1
blip2	1	4	6	11	5	0
blip2	2	1	3	8	5	1
blip2	2	1	10	13	3	1
blip2	2	1	14	17	3	0
blip2	2	2	3	8	5	1
blip2	2	2	10	13	3	1
blip2	2	2	15	17	2	0
blip2	2	3	3	8	5	1
blip2	2	3	9	11	2	1
blip2	2	3	15	16	1	1
blip2	2	3	17	17	0	0
blip2	3	1	2	9	7	1
blip2	3	1	12	20	8	1
blip2	3	2	5	6	1	1
blip2	3	2	12	19	7	1
blip2	3	3	1	8	7	1
blip2	3	3	12	17	5	0
blip2	3	4	1	11	10	1
blip2	3	4	13	18	5	0
blip2	4	1	1	4	3	1
blip2	4	1	6	10	4	0
blip2	4	2	2	5	3	1
blip2	4	2	6	11	5	0
blip2	5	1	1	2	1	1
blip2	5	1	3	16	13	0
blip2	5	2	5	7	2	1
blip2	5	2	8	12	4	1
blip2	5	2	13	16	3	0
blip2	6	1	1	2	1	1
blip2	6	1	3	14	11	0
blip2	6	2	1	4	3	1
blip2	6	2	5	15	10	0
blip2	7	1	2	16	14	0
blip2	7	2	2	8	6	1
blip2	7	2	10	16	6	0
blip2	8	1	3	19	16	0
blip2	8	2	3	9	6	1
blip2	8	2	15	18	3	1
blip2	8	2	19	20	1	1
blip2	8	3	1	12	11	1
blip2	8	3	14	17	3	1
blip2	8	4	1	10	9	1
blip2	8	4	11	19	8	0
blip2	9	1	5	7	2	1
blip2	9	2	5	6	1	1
blip2	10	1	1	4	3	1
blip2	10	1	5	6	1	1
blip2	10	1	10	11	1	1
blip2	10	1	12	14	2	1
blip2	10	1	15	15	0	0
blip2	10	2	1	2	1	1
blip2	10	2	3	4	1	1
blip2	10	2	5	6	1	1
blip2	10	2	10	16	6	0
blip2	11	1	1	3	2	1
blip2	11	1	4	9	5	1
blip2	11	1	10	11	1	1
blip2	11	1	16	16	0	0
blip2	11	2	2	3	1	1
blip2	11	2	5	9	4	1
blip2	11	2	10	11	1	1
blip2	11	2	12	14	2	1
blip2	11	2	15	16	1	0
blip2	12	1	1	2	1	1
blip2	12	1	3	8	5	1
blip2	12	1	9	10	1	1
blip2	12	1	11	15	4	1
blip2	12	2	1	5	4	1
blip2	12	2	6	14	8	0
blip2	13	1	4	11	7	1
blip2	13	1	12	15	3	0
blip2	13	2	10	18	8	1
blip2	13	3	2	6	4	1
blip2	13	3	10	13	3	1
blip2	13	3	15	16	1	1
blip2	13	4	2	8	6	1
blip2	13	4	10	14	4	1
blip2	14	1	1	3	2	1
blip2	14	1	4	5	1	1
blip2	14	1	6	7	1	1
blip2	14	1	8	13	5	0
blip2	14	2	2	3	1	1
blip2	14	2	4	5	1	1
blip2	14	2	6	13	7	0
blip2	15	1	1	14	13	1
blip2	15	2	13	14	1	1
blip2	15	2	16	20	4	0
blip2	15	3	1	19	18	0
blip2	15	4	2	20	18	0
blip2	16	1	3	7	4	1
blip2	16	1	9	11	2	1
blip2	16	1	12	13	1	1
blip2	16	1	15	15	0	0
blip2	16	2	2	5	3	1
blip2	16	2	6	7	1	1
blip2	16	2	9	13	4	1
blip2	16	2	16	16	0	0
blip2	17	1	1	5	4	1
blip2	17	1	8	9	1	1
blip2	17	1	11	13	2	1
blip2	17	1	14	16	2	1
blip2	17	1	18	18	0	0
blip2	17	2	1	3	2	1
blip2	17	2	4	5	1	1
blip2	17	2	11	13	2	1
blip2	17	2	14	17	3	1
blip2	17	2	18	18	0	0
blip2	18	1	1	16	15	0
blip2	18	2	1	16	15	0
blip2	18	3	1	6	5	1
blip2	18	3	10	16	6	0
blip2	19	1	2	10	8	1
blip2	19	2	2	10	8	1
blip2	20	1	1	5	4	1
blip2	20	1	8	19	11	0
blip2	20	2	1	5	4	1
blip2	20	2	8	13	5	1
blip2	20	2	14	19	5	0
blip2	20	3	1	3	2	1
blip2	20	3	8	9	1	1
blip2	20	3	11	19	8	0
blip2	21	1	2	3	1	1
blip2	21	1	4	10	6	1
blip2	21	1	11	15	4	0
blip2	21	2	2	10	8	1
blip2	21	2	11	16	5	1
blip2	22	1	1	3	2	1
blip2	22	1	6	8	2	1
blip2	22	1	9	12	3	1
blip2	22	1	13	16	3	1
blip2	22	2	6	8	2	1
blip2	22	2	9	11	2	1
blip2	22	2	14	16	2	1
blip2	23	1	1	9	8	1
blip2	23	1	11	19	8	0
blip2	23	2	1	9	8	1
blip2	23	2	11	14	3	1
blip2	23	2	15	19	4	0
blip2	23	3	1	9	8	1
blip2	23	3	11	12	1	1
blip2	23	3	13	18	5	1
blip2	23	3	19	19	0	0
blip2	24	1	1	5	4	1
blip2	24	1	6	7	1	1
blip2	24	1	8	10	2	0
blip2	24	2	1	5	4	1
blip2	24	2	6	7	1	1
blip2	24	2	8	10	2	0
blip2	25	1	5	7	2	0
blip2	25	2	1	6	5	0
blip2	25	3	2	8	6	0
blip2	26	1	1	5	4	1
blip2	26	1	7	13	6	0
blip2	26	2	1	10	9	1
blip2	26	2	11	12	1	1
blip2	26	2	13	13	0	0
blip2	26	3	1	13	12	0
blip2	27	1	1	15	14	1
blip2	27	1	16	17	1	1
blip2	27	1	18	18	0	0
blip2	27	2	1	3	2	1
blip2	27	2	4	15	11	1
blip2	27	2	18	18	0	0
blip2	28	1	2	20	18	0
blip2	28	2	5	18	13	0
blip2	28	3	8	11	3	1
blip2	28	3	13	20	7	0
blip2	28	4	5	10	5	1
blip2	28	4	13	19	6	0
blip2	28	5	2	9	7	1
blip2	28	5	13	15	2	1
blip2	29	1	1	2	1	1
blip2	29	1	5	6	1	1
blip2	29	1	8	10	2	0
blip2	29	2	1	2	1	1
blip2	29	2	5	6	1	1
blip2	29	2	8	10	2	0
blip2	30	1	3	12	9	1
blip2	30	2	4	13	9	0
blip2	30	3	3	8	5	1
blip2	30	3	9	11	2	0
blip2	31	1	1	17	16	1
blip2	31	2	8	11	3	1
blip2	31	2	16	17	1	1
blip2	31	3	1	4	3	1
blip2	31	3	6	14	8	1
blip2	31	4	6	15	9	1
blip2	31	5	1	2	1	1
blip2	31	5	5	16	11	0
blip2	32	1	7	14	7	1
blip2	32	1	15	16	1	0
blip2	32	2	7	12	5	1
blip2	32	2	17	17	0	0
blip2	32	3	2	10	8	1
blip2	32	3	16	18	2	1
blip2	32	4	8	20	12	0
blip2	32	5	7	19	12	0
blip2	33	1	1	3	2	1
blip2	33	1	6	19	13	1
blip2	33	2	6	9	3	1
blip2	33	2	11	15	4	1
blip2	33	2	16	20	4	1
blip2	33	3	7	17	10	0
blip2	33	4	1	4	3	1
blip2	33	4	7	18	11	0
blip2	34	1	1	10	9	0
blip2	34	2	1	10	9	0
blip2	35	1	2	8	6	1
blip2	35	1	10	15	5	0
blip2	35	2	2	15	13	0
blip2	36	1	1	10	9	0
blip2	36	2	1	10	9	0
blip2	37	1	5	19	14	1
blip2	37	2	2	8	6	1
blip2	37	2	9	13	4	0
blip2	37	3	1	17	16	0
blip2	37	4	2	14	12	0
blip2	37	5	2	11	9	1
blip2	37	5	15	18	3	1
blip2	38	1	1	10	9	1
blip2	38	2	1	10	9	1
blip2	39	1	7	17	10	0
blip2	39	2	5	10	5	1
blip2	39	2	11	16	5	0
blip2	39	3	2	14	12	1
blip2	39	3	17	18	1	0
blip2	39	4	11	15	4	1
blip2	39	4	16	19	3	0
blip2	39	5	6	20	14	0
blip2	40	1	11	18	7	0
blip2	40	2	1	17	16	1
blip2	40	2	19	19	0	0
blip2	40	3	6	19	13	0
blip2	40	4	2	19	17	0
blip2	40	5	4	9	5	1
blip2	40	5	13	20	7	1
blip2	41	1	1	5	4	1
blip2	41	1	6	16	10	0
blip2	41	2	1	16	15	0
blip2	42	1	1	19	18	0
blip2	42	2	1	10	9	1
blip2	42	2	11	19	8	0
blip2	43	1	1	4	3	1
blip2	43	1	5	13	8	1
blip2	43	1	15	15	0	0
blip2	43	2	1	4	3	1
blip2	43	2	6	14	8	1
blip2	43	2	16	16	0	0
blip2	44	1	1	6	5	1
blip2	44	1	7	10	3	0
blip2	44	2	1	6	5	1
blip2	44	2	7	10	3	0
blip2	44	3	1	6	5	1
blip2	44	3	7	10	3	0
blip2	45	1	8	8	0	0
blip2	45	2	4	6	2	1
blip2	45	2	8	8	0	0
blip2	45	3	8	9	1	1
blip2	45	3	12	12	0	0
blip2	45	4	1	13	12	0
blip2	46	1	1	5	4	0
blip2	46	2	1	5	4	0
blip2	46	3	1	5	4	0
blip2	46	4	1	5	4	0
blip2	47	1	1	9	8	1
blip2	47	1	10	10	0	0
blip2	47	2	1	9	8	1
blip2	48	1	1	13	12	1
blip2	48	1	14	17	3	0
blip2	48	2	1	18	17	0
blip2	48	3	1	19	18	0
blip2	49	1	2	8	6	1
blip2	49	1	9	13	4	1
blip2	49	1	17	18	1	0
blip2	49	2	4	20	16	0
blip2	49	3	2	14	12	0
blip2	49	4	1	10	9	1
blip2	49	4	16	19	3	0
blip2	50	1	1	2	1	1
blip2	50	1	3	5	2	1
blip2	50	1	6	10	4	0
blip2	50	2	1	2	1	1
blip2	50	2	3	5	2	1
blip2	50	2	6	10	4	0
blip2	51	1	1	7	6	1
blip2	51	1	8	16	8	0
blip2	51	2	1	3	2	1
blip2	51	2	4	5	1	1
blip2	51	2	6	7	1	1
blip2	51	2	10	16	6	0
blip2	52	1	2	3	1	1
blip2	52	1	4	5	1	1
blip2	52	1	6	8	2	1
blip2	52	1	9	14	5	0
blip2	52	2	2	8	6	1
blip2	52	2	9	14	5	0
blip2	53	1	2	4	2	1
blip2	53	1	5	7	2	1
blip2	53	1	8	9	1	1
blip2	53	1	10	10	0	0
blip2	53	2	2	4	2	1
blip2	53	2	5	7	2	1
blip2	53	2	8	9	1	1
blip2	53	2	10	10	0	0
blip2	54	1	2	11	9	1
blip2	54	1	13	15	2	0
blip2	54	2	1	11	10	1
blip2	54	2	12	14	2	0
blip2	55	1	1	9	8	1
blip2	55	1	11	15	4	1
blip2	55	1	18	18	0	0
blip2	55	2	1	5	4	1
blip2	55	2	7	9	2	1
blip2	55	2	12	15	3	1
blip2	55	2	18	18	0	0
blip2	55	3	1	9	8	1
blip2	55	3	13	15	2	1
blip2	55	3	18	18	0	0
blip2	56	1	6	7	1	1
blip2	56	1	11	14	3	0
blip2	56	2	2	3	1	1
blip2	56	2	6	18	12	0
blip2	56	3	6	16	10	1
blip2	56	4	1	17	16	1
blip2	56	4	20	20	0	0
blip2	56	5	4	5	1	1
blip2	56	5	6	15	9	0
blip2	57	1	2	3	1	1
blip2	57	2	1	4	3	1
blip2	57	2	7	8	1	1
blip2	57	3	1	6	5	1
blip2	57	3	7	8	1	1
blip2	58	1	2	20	18	0
blip2	58	2	1	20	19	0
blip2	58	3	5	20	15	0
blip2	58	4	8	15	7	1
blip2	58	4	16	20	4	0
blip2	59	1	2	6	4	1
blip2	59	1	7	9	2	1
blip2	59	1	10	14	4	1
blip2	59	1	15	15	0	0
blip2	59	2	2	8	6	1
blip2	59	2	10	14	4	1
blip2	59	2	15	16	1	1
blip2	60	1	1	3	2	1
blip2	60	1	4	5	1	1
blip2	60	1	6	9	3	1
blip2	60	1	16	16	0	0
blip2	60	2	2	5	3	1
blip2	60	2	6	9	3	1
blip2	60	2	10	11	1	1
blip2	60	2	14	15	1	0
blip2	61	1	1	2	1	1
blip2	61	1	6	15	9	1
blip2	61	1	16	16	0	0
blip2	61	2	1	2	1	1
blip2	61	2	7	16	9	0
blip2	62	1	1	8	7	0
blip2	62	2	2	8	6	0
blip2	62	3	1	8	7	0
blip2	62	4	2	8	6	0
blip2	63	1	1	2	1	1
blip2	63	1	3	8	5	1
blip2	63	1	9	16	7	0
blip2	63	2	1	6	5	1
blip2	63	2	7	10	3	1
blip2	63	2	12	15	3	1
blip2	63	2	16	16	0	0
blip2	64	1	2	6	4	0
blip2	64	2	1	5	4	0
blip2	64	3	3	7	4	0
blip2	64	4	3	7	4	0
blip2	64	5	1	6	5	0
blip2	65	1	3	7	4	0
blip2	65	2	1	2	1	1
blip2	65	2	4	6	2	0
blip2	66	1	1	3	2	1
blip2	66	1	5	10	5	0
blip2	66	2	4	10	6	0
blip2	66	3	4	7	3	0
blip2	66	4	1	2	1	1
blip2	66	4	4	10	6	0
blip2	66	5	1	3	2	1
blip2	66	5	5	9	4	0
blip2	67	1	1	7	6	1
blip2	67	1	9	12	3	1
blip2	67	1	13	15	2	0
blip2	67	2	1	8	7	1
blip2	67	2	9	12	3	1
blip2	67	2	13	15	2	0
blip2	68	1	1	6	5	1
blip2	68	1	7	15	8	0
blip2	68	2	2	6	4	1
blip2	68	2	7	13	6	1
blip2	68	2	15	15	0	0
blip2	69	1	1	8	7	0
blip2	69	2	1	8	7	0
blip2	70	1	1	11	10	1
blip2	70	1	12	14	2	0
blip2	70	2	1	11	10	1
blip2	70	2	12	14	2	0
blip2	71	1	1	15	14	1
blip2	71	2	2	6	4	1
blip2	71	2	7	15	8	1
blip2	72	1	1	7	6	1
blip2	72	1	9	16	7	0
blip2	72	2	1	7	6	1
blip2	72	2	8	15	7	0
blip2	73	1	1	7	6	0
blip2	73	2	1	7	6	0
blip2	73	3	1	7	6	0
blip2	73	4	1	7	6	0
blip2	74	1	3	15	12	1
blip2	74	1	17	20	3	0
blip2	74	2	2	12	10	0
blip2	74	3	2	4	2	1
blip2	74	3	11	19	8	0
blip2	74	4	2	14	12	1
blip2	74	4	20	20	0	0
blip2	74	5	3	20	17	0
blip2	75	1	1	10	9	1
blip2	75	1	11	12	1	1
blip2	75	1	14	15	1	0
blip2	75	2	3	10	7	1
blip2	75	2	11	13	2	1
blip2	75	2	14	15	1	0
blip2	76	1	5	16	11	1
blip2	76	1	17	20	3	0
blip2	76	2	1	3	2	1
blip2	76	2	5	20	15	0
blip2	76	3	5	16	11	1
blip2	76	3	18	20	2	0
blip2	76	4	1	12	11	1
blip2	76	4	13	20	7	0
blip2	77	1	1	2	1	1
blip2	77	1	9	12	3	1
