model	sample_id	image_id	turn	delta	ok
blip2	63	1	6	5	1
blip2	63	1	7	6	0
blip2	63	1	8	7	0
blip2	63	1	9	8	0
blip2	63	1	10	9	0
blip2	63	1	11	10	0
blip2	63	1	12	11	0
blip2	63	1	13	12	0
blip2	63	1	14	13	1
blip2	63	1	15	14	0
blip2	63	1	16	15	0
blip2	64	1	1	0	0
blip2	64	1	2	1	0
blip2	64	1	3	2	0
blip2	64	1	4	3	0
blip2	64	1	5	4	1
blip2	64	1	6	5	0
blip2	64	1	7	6	0
blip2	65	1	1	0	0
blip2	65	1	2	1	0
blip2	65	1	3	2	0
blip2	65	1	4	3	1
blip2	65	1	5	4	0
blip2	65	1	6	5	1
blip2	65	1	7	6	0
blip2	66	1	1	0	0
blip2	66	1	2	1	0
blip2	66	1	3	2	0
blip2	66	1	4	3	0
blip2	66	1	5	4	0
blip2	66	1	6	5	1
blip2	66	1	7	6	0
blip2	66	1	8	7	0
blip2	66	1	9	8	0
blip2	66	1	10	9	1
blip2	67	1	1	0	0
blip2	67	1	2	1	0
blip2	67	1	3	2	1
blip2	67	1	4	3	1
blip2	67	1	5	4	1
