turn,focus_rate,focus_n,answer_ok_rate,answer_ok_n,trunc_rate,trunc_n,model,sample_id
1,,0,1.0,1,0.0,1,qwen,74
2,,0,1.0,1,0.0,1,qwen,74
3,,0,0.0,1,0.0,1,qwen,74
4,,0,1.0,1,0.0,1,qwen,74
5,,0,1.0,1,0.0,1,qwen,74
6,,0,0.0,1,0.0,1,qwen,74
7,,0,1.0,1,0.0,1,qwen,74
8,,0,1.0,1,0.0,1,qwen,74
9,,0,1.0,1,0.0,1,qwen,74
10,,0,0.0,1,0.0,1,qwen,74
11,,0,1.0,1,0.0,1,qwen,74
12,,0,1.0,1,0.0,1,qwen,74
13,,0,1.0,1,0.0,1,qwen,74
14,,0,1.0,1,0.0,1,qwen,74
15,,0,1.0,1,0.0,1,qwen,74
16,,0,1.0,1,0.0,1,qwen,74
17,,0,1.0,1,0.0,1,qwen,74
18,,0,1.0,1,0.0,1,qwen,74
19,,0,1.0,1,0.0,1,qwen,74
20,,0,1.0,1,0.0,1,qwen,74
