turn,focus_rate,focus_n,answer_ok_rate,answer_ok_n,trunc_rate,trunc_n,model,sample_id
1,,0,1.0,1,0.0,1,llava,100
2,,0,1.0,1,0.0,1,llava,100
3,,0,1.0,1,0.0,1,llava,100
4,,0,1.0,1,0.0,1,llava,100
5,,0,1.0,1,0.0,1,llava,100
6,,0,1.0,1,0.0,1,llava,100
7,,0,1.0,1,0.0,1,llava,100
8,,0,1.0,1,0.0,1,llava,100
9,,0,1.0,1,0.0,1,llava,100
10,,0,1.0,1,0.0,1,llava,100
11,,0,1.0,1,0.0,1,llava,100
12,,0,1.0,1,0.0,1,llava,100
13,,0,1.0,1,0.0,1,llava,100
14,,0,1.0,1,0.0,1,llava,100
15,,0,0.0,1,0.0,1,llava,100
16,,0,0.0,1,0.0,1,llava,100
17,,0,1.0,1,0.0,1,llava,100
18,,0,1.0,1,0.0,1,llava,100
19,,0,1.0,1,0.0,1,llava,100
20,,0,1.0,1,0.0,1,llava,100
